Price,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-08,274.9398193359375,498.41656494140625,1621.959228515625,342.6112365722656,623.2088623046875,565.5576782226562,1694.73583984375,148.0346221923828,275.77361207406784,503.6528093746815,1648.4667443882788,345.79516470233955,632.5049657941637,575.6498162527372,1717.837734118127,161.68878705927577,268.6642473093685,494.65962648902314,1616.3363692946252,338.4142189867803,618.2946120039236,563.145285109626,1686.1857825682118,126.71842501347926,271.20958130560575,495.91587571457126,1641.4158902862553,344.347919289709,622.4717047634373,568.7003724990501,1705.9168692486785,161.68878705927577,3413931,12235644,1222765,9308651,5915169,14230054,1684474,102256857
2019-02-11,274.0182189941406,502.4083557128906,1610.802978515625,337.73883056640625,624.7651977539062,554.7351684570312,1698.435546875,149.95013427734375,276.8707380691159,503.1714839023567,1620.2635679349946,342.225314961428,629.6385074191562,564.8052045928157,1723.1817002417654,150.53952831197702,272.96497432339623,496.221181557175,1602.7257149885538,336.77400027832135,621.6528483006693,553.7392334148291,1684.459359420749,143.27041515903565,276.4757601726122,496.221181557175,1616.3811690870734,342.12882604376273,628.1232997876875,564.7609421263937,1693.5850679857044,147.49435078122667,3303611,7036364,797453,9419635,5500216,16457901,1778730,26161867
2019-02-12,273.1844482421875,500.07196044921875,1601.60986328125,332.1910400390625,614.6500244140625,556.1295166015625,1686.6790771484375,149.1151885986328,277.0024497506669,504.3689701236385,1617.228794798342,339.62024466890773,622.7585095010937,563.1895874760552,1701.8061627535862,151.66919464192605,271.7801217489623,498.92142101773663,1596.701056233021,331.1779800642119,606.910068202079,553.9605964529412,1659.0554765394863,147.93641542565794,273.5793964934461,502.020883670549,1615.4437740535316,336.72575394729773,622.7585095010937,553.9605964529412,1701.8061627535862,150.2448431000433,2226134,9772388,990035,14924394,7310690,13998153,2422903,14174912
2019-02-14,264.0124206542969,495.4932861328125,1593.1759033203125,331.8533935546875,606.1318359375,541.8765258789062,1680.9239501953125,157.02281188964844,271.99950412215037,502.4905965595168,1605.180125903278,334.6513955366062,616.7384365779108,549.3128564552972,1705.9166772491587,158.15246636814106,260.2383160477023,494.4132005547037,1585.9911502530579,324.3276995460313,603.8385290399266,539.1321939259117,1671.4284260135494,151.0798124848641,271.20957801564765,502.4905965595168,1602.94884966488,327.8975834347343,615.1003530810239,549.3128564552972,1693.6258960307673,153.19178041905946,8573394,7441388,1341658,15172596,4610535,14496604,1724085,16348306
2019-02-15,267.34771728515625,493.25079345703125,1582.2425537109375,330.11669921875,607.6881713867188,550.8399658203125,1668.6741943359375,158.79095458984375,268.62038444187,495.00016385197443,1597.593689719694,335.51975508160274,611.414802178888,553.2523589386116,1687.007700227012,159.4294672910821,260.98441122152497,487.9793504544424,1559.6619959693662,328.6212239500905,600.0300993290477,537.3616603663344,1653.2592847943895,150.4412907174282,264.1880124270652,494.8240573552755,1597.593689719694,331.9498709996414,607.9748160667501,544.3332058212081,1684.5413147003644,156.97368379919516,6727458,8416524,1177218,20316848,5586389,20994460,1930065,20705576
2019-02-18,265.54840087890625,490.7266540527344,1563.589111328125,326.8362121582031,606.9510498046875,540.0617065429688,1619.839599609375,160.01885986328125,269.58582401271417,497.32480111515696,1584.2953106147083,330.93674028122115,612.3567568715654,554.4031574680856,1678.7450181995946,160.55913527495215,263.35414852966426,489.8109231001971,1548.5056626228568,325.6784042045804,602.8148978001893,537.8042619533624,1613.5502973829211,156.3843029858171,269.3664017497833,494.694955275189,1584.2953106147083,330.16488794165895,608.0157943815352,553.2965368559136,1675.168779790817,159.92063750865012,4440252,7138744,1513430,10601490,5346825,21106139,2942184,13503666
2019-02-19,266.5577392578125,489.35296630859375,1551.138427734375,331.177978515625,593.23193359375,538.291259765625,1565.9906005859375,160.85382080078125,275.15922241054216,495.01182023684044,1570.461299953679,338.07650881434824,606.5413621224909,548.7374981100645,1620.415473872865,163.01490730383355,264.67070192323274,487.9793128097775,1544.4445996410152,327.1739389249771,590.7748083269055,536.1223396511388,1555.4673143416849,158.69273429772895,266.73329489354757,490.6796122175164,1561.8932217839833,327.1739389249771,605.3537415787811,539.1322466913853,1619.5933452712045,161.09939915314885,7593977,5268636,1598381,14384763,9401334,13658461,4408554,14533142
2019-02-20,271.2095642089844,495.0588073730469,1547.1668701171875,333.0594482421875,606.6643676757812,546.3693237304688,1574.1707763671875,161.88525390625,272.83331268077495,495.6810273238085,1558.2785816762887,335.37503519085857,608.5481541171042,548.8702417164039,1589.8323667333464,163.75164340052748,267.65488205071625,488.8480731307847,1536.902999908738,330.3096758587656,594.6653834026342,539.57482832799,1546.6706141498355,160.8538218219753,268.18148952159856,490.397833048685,1555.3779227043353,332.86647039467925,595.4434832343671,541.7216465839695,1574.3763085223472,161.54143821518736,6216966,4892500,1430235,9474758,5210675,13776558,4645778,11610728
2019-02-21,271.99951171875,496.8316345214844,1566.0880126953125,338.9448547363281,600.726318359375,551.9244384765625,1573.71826171875,166.69859313964844,272.9649934980698,497.7826210860852,1569.033340702864,342.46650870102326,604.452949172599,556.7492248237998,1594.9292161800115,167.58268425747352,265.9433915864671,491.59544711955283,1549.7104680449033,334.0724737560112,595.5253720680821,544.1561684297326,1559.6188388823166,162.17996016344952,268.4887256229157,493.49736292241994,1550.2906216159697,334.60311861531136,604.452949172599,547.0997112247437,1574.170472515813,162.6711168992699,5805770,5261544,1225418,18631331,7202786,23142949,4683919,14811723
2019-02-22,275.4664611816406,491.090576171875,1578.4495849609375,339.66851806640625,601.9548950195312,545.4840698242188,1583.132080078125,171.21722412109375,277.79237319781544,499.69634823145043,1582.4212133494,341.64643798033035,604.61678137414,551.2162068932724,1586.7083196909018,172.19953749529517,270.3757925545268,490.5388101990573,1563.6338225949353,338.9448952929846,596.262543432374,542.673314598179,1566.2372959093993,164.88130585527696,271.3851410664718,497.6534669631564,1570.8185761392804,339.04138421829805,599.9482322310631,550.9063696321634,1576.1850326608314,166.99327361424503,6199607,8890708,1360163,10997730,3750833,19152470,2271955,13011477
2019-02-25,278.4505615234375,499.06231689453125,1579.8773193359375,343.0936584472656,618.2946166992188,545.4619750976562,1632.0484619140625,172.64158630371094,280.8642358335448,500.1307077924715,1584.9200249271917,344.8786003800849,620.8336260444255,550.1982368058309,1636.0357651898873,174.36063481598117,273.4915536179547,491.959354732252,1569.9258065043343,340.6333235309092,602.4461293646989,540.3052494604813,1587.119117939235,170.43138107364922,275.5980427423887,491.959354732252,1581.5284417997045,340.6333235309092,602.4461293646989,547.0997456286915,1588.763374989677,172.05219224679576,4154758,8140596,1490746,10344411,6547552,17176522,2934880,15554532
